"","SeqId","Target","ExternalCalibratorReference0x2ESL14381_8d0x2Exlsx","medianQCreplicate","madNQCreplicate","mLLOD","mULOD","RRCIratio","mLLOQ","mULOQ","n","L95ref_L90CI","L95ref_U90CI","L95ref","U95ref","U95ref_L90CI","U95ref_U90CI","ColNum"
"Gelsolin.4775.34.3","4775-34_3","Gelsolin",1249.68339721122,3.15,0.03,NA,NA,5.5661,NA,NA,168,2.935,2.997,2.969,3.271,3.259,3.305,929
"CBG.4785.30.3","4785-30_3","CBG",510.975409054676,2.64,0.04,2.949,NA,0,NA,NA,28,2.949,2.949,2.949,2.949,2.949,2.949,930
"Cytidylate.kinase.4786.58.3","4786-58_3","Cytidylate kinase",3899.41986676544,3.55,0.04,3.877,3.713,4.0582,NA,NA,168,3.626,3.671,3.645,3.918,3.898,3.971,931
"C34.gp41.HIV.Fragment.4792.51.2","4792-51_2","C34 gp41 HIV Fragment",1054.38689639126,2.92,0.06,NA,NA,4.8099,NA,NA,168,2.833,2.88,2.867,3.355,3.302,3.409,932
"PERL.4801.13.3","4801-13_3","PERL",1315.83065509592,2.96,0.02,NA,NA,5.7932,NA,NA,168,2.635,2.746,2.699,3.375,3.338,3.431,933
"CO8A1.4807.13.3","4807-13_3","CO8A1",3874.36024728002,2.6,0.01,NA,NA,9.5355,NA,NA,168,2.489,2.549,2.532,3.466,3.421,3.496,934
"ITI.heavy.chain.H4.4811.33.3","4811-33_3","ITI heavy chain H4",37609.7113259769,4.58,0.03,NA,NA,7.2532,NA,NA,168,4.471,4.523,4.484,4.73,4.719,4.74,935
"TXD12.4815.25.3","4815-25_3","TXD12",3100.98738853234,3.49,0.01,NA,NA,5.3291,NA,NA,168,3.308,3.367,3.337,3.768,3.727,3.808,936
"STRATIFIN.4829.43.6","4829-43_6","STRATIFIN",650.578939170323,2.86,0.02,NA,NA,3.0433,NA,NA,168,2.808,2.829,2.821,3.181,3.127,3.272,937
"sL.Selectin.4831.4.2","4831-4_2","sL-Selectin",4849.53390498342,3.72,0.03,NA,NA,6.62,NA,NA,168,3.475,3.524,3.513,3.822,3.804,3.847,938
"TRAIL.R1.4832.75.2","4832-75_2","TRAIL R1",1364.89737964495,3.1,0.04,3.314,NA,4.4474,NA,NA,42,3.314,3.314,3.314,3.478,3.44,3.502,939
"Epithelial.cell.kinase.4834.61.2","4834-61_2","Epithelial cell kinase",3268.88769247272,3.46,0.04,NA,NA,7.4311,NA,NA,168,3.213,3.281,3.256,3.814,3.78,3.846,940
"G.CSF.4840.73.1","4840-73_1","G-CSF",1129.53579949769,3.25,0.15,3.448,NA,2.8555,NA,NA,21,3.448,3.448,3.448,3.64,3.57,3.682,941
"Glypican.3.4842.62.2","4842-62_2","Glypican 3",1218.98959892487,3.09,0.04,NA,NA,4.0282,NA,NA,168,2.668,2.743,2.707,3.327,3.279,3.418,942
"IL.1a.4851.25.1","4851-25_1","IL-1a",781.447848854183,2.79,0.02,NA,NA,2.5606,NA,NA,168,2.782,2.833,2.822,3.076,3.043,3.158,943
"BMPR1A.4859.6.1","4859-6_1","BMPR1A",575.970181254672,2.75,0.03,NA,NA,6.4537,NA,NA,168,2.542,2.621,2.595,3.012,2.985,3.039,944
"BMP.RII.4862.63.1","4862-63_1","BMP RII",568.721962694819,2.63,0.02,NA,NA,7.5661,NA,NA,168,2.616,2.624,2.62,3.015,2.967,3.034,945
"TrkB.4866.59.2","4866-59_2","TrkB",686.910254871884,2.87,0.02,NA,NA,4.3213,NA,NA,168,2.677,2.729,2.696,3.011,2.985,3.06,946
"VEGF121.4867.15.2","4867-15_2","VEGF121",840.233513907692,2.86,0.02,NA,NA,6.2801,NA,NA,168,2.781,2.847,2.825,3.295,3.261,3.331,947
"Angiogenin.4874.3.1","4874-3_1","Angiogenin",3884.18583392963,3.52,0.02,NA,NA,4.857,NA,NA,168,3.348,3.414,3.389,3.778,3.757,3.833,948
"C3d.4875.73.1","4875-73_1","C3d",513.806980232344,2.64,0.02,NA,NA,7.9354,NA,NA,168,2.572,2.601,2.585,2.911,2.901,2.944,949
"Coagulation.Factor.IX.4876.32.1","4876-32_1","Coagulation Factor IX",13353.6503332719,4.15,0.03,NA,NA,5.7236,NA,NA,168,4.012,4.068,4.044,4.283,4.273,4.304,950
"Coagulation.Factor.X.4878.3.1","4878-3_1","Coagulation Factor X",15279.178338196,4.26,0.03,NA,NA,6.8029,NA,NA,168,4.016,4.064,4.043,4.283,4.272,4.299,951
"GDF2.4880.21.1","4880-21_1","GDF2",1810.50613172181,3.24,0.02,NA,NA,7.4864,NA,NA,168,2.98,3.051,3.031,3.486,3.466,3.517,952
"Insulin.4883.56.2","4883-56_2","Insulin",200.631906479057,2.25,0.03,NA,NA,5.342,NA,NA,168,2.097,2.121,2.108,2.544,2.521,2.61,953
"MCP.3.4886.3.1","4886-3_1","MCP-3",541.252605515154,2.88,0.03,NA,NA,7.8767,NA,NA,168,2.582,2.689,2.626,3.156,3.132,3.177,954
"WNT7A.4889.82.1","4889-82_1","WNT7A",314.340254173901,2.43,0.02,NA,NA,6.183,NA,NA,168,2.43,2.466,2.448,2.754,2.736,2.788,955
"ACTH.4890.10.1","4890-10_1","ACTH",295.665056508294,2.41,0.02,NA,NA,6.4915,NA,NA,168,2.455,2.49,2.47,2.812,2.775,2.833,956
"Glucagon.4891.50.1","4891-50_1","Glucagon",3637.47485642632,3.54,0.03,NA,NA,5.1726,NA,NA,168,3.029,3.071,3.053,3.908,3.855,3.989,957
"C3a.4900.8.1","4900-8_1","C3a",1007.16355013213,2.95,0.14,3.468,2.922,5.2011,NA,NA,168,2.841,2.9,2.87,3.519,3.497,3.604,958
"Calcineurin.4903.72.1","4903-72_1","Calcineurin",521.915265835448,3.05,0.03,NA,NA,5.2673,NA,NA,168,2.891,3.021,2.962,4.048,4,4.134,959
"Caspase.2.4904.7.1","4904-7_1","Caspase-2",191.249364184421,2.17,0.02,NA,NA,5.4203,NA,NA,168,2.33,2.382,2.364,2.78,2.75,2.827,960
"Coactosin.like.protein.4905.63.1","4905-63_1","Coactosin-like protein",1745.42020879137,3.24,0.03,3.477,NA,1.5963,NA,NA,26,3.477,3.477,3.477,3.531,3.517,3.578,961
"Coagulation.Factor.V.4906.35.1","4906-35_1","Coagulation Factor V",71104.9769542342,4.87,0.05,4.967,4.768,7.7046,NA,NA,168,4.71,4.736,4.722,5.002,4.992,5.031,962
"D.dimer.4907.56.1","4907-56_1","D-dimer",11434.0477092023,4.08,0.04,NA,NA,3.769,NA,NA,168,4.023,4.078,4.056,4.315,4.294,4.365,963
"Endoglin.4908.6.1","4908-6_1","Endoglin",2152.78173472437,3.37,0.05,NA,NA,5.4176,NA,NA,168,3.047,3.124,3.073,3.618,3.583,3.673,964
"Galectin.8.4909.68.1","4909-68_1","Galectin-8",356.533218782928,2.53,0.02,NA,NA,3.7816,NA,NA,168,2.534,2.574,2.562,2.753,2.735,2.79,965
"GIB.4910.21.1","4910-21_1","GIB",857.827569882808,2.85,0.03,NA,NA,6.1519,NA,NA,168,2.775,2.815,2.803,3.198,3.159,3.228,966
"Glutathione.S.transferase.Pi.4911.49.2","4911-49_2","Glutathione S-transferase Pi",3751.4572346201,3.61,0.04,NA,NA,6.7085,NA,NA,168,3.641,3.704,3.695,4.026,4.012,4.053,967
"GOT1.4912.17.1","4912-17_1","GOT1",6302.31345990852,3.8,0.04,NA,NA,9.2082,NA,NA,168,3.753,3.79,3.778,4.118,4.104,4.138,968
"HCC.4.4913.78.1","4913-78_1","HCC-4",37835.5455123231,4.57,0.02,NA,NA,7.4144,NA,NA,168,4.101,4.244,4.184,4.773,4.758,4.808,969
"HCG.4914.10.1","4914-10_1","HCG",3900.31784475066,3.46,0.03,NA,NA,7.5569,NA,NA,168,2.537,2.612,2.58,4.341,4.302,4.409,970
"Hemoglobin.4915.64.2","4915-64_2","Hemoglobin",2359.39144304405,3.28,0.17,3.686,NA,2.8049,NA,NA,22,3.686,3.686,3.686,3.847,3.798,3.894,971
"IgD.4916.2.1","4916-2_1","IgD",24479.3566619607,4.4,0.02,NA,NA,8.0365,NA,NA,168,2.341,2.513,2.432,4.511,4.461,4.566,972
"Integrin.aVb5.4917.62.1","4917-62_1","Integrin aVb5",1159.31111574166,2.94,0.02,NA,NA,5.0187,NA,NA,168,2.8,2.887,2.862,3.313,3.294,3.372,973
"Kininogen..HMW.4918.21.1","4918-21_1","Kininogen, HMW",241768.658092577,5.41,0.03,5.448,5.335,5.1903,NA,NA,168,5.278,5.328,5.315,5.482,5.477,5.497,974
"LIF.sR.4919.56.2","4919-56_2","LIF sR",510.15247738556,2.19,0.05,NA,NA,8.4906,NA,NA,168,2.131,2.161,2.143,2.658,2.63,2.692,975
"Lysozyme.4920.10.1","4920-10_1","Lysozyme",54150.191895349,4.73,0.02,NA,NA,5.06,NA,NA,168,4.539,4.594,4.575,4.898,4.879,4.941,976
"MIP.3b.4922.13.1","4922-13_1","MIP-3b",566.76105494185,2.62,0.02,NA,NA,5.4977,NA,NA,168,2.541,2.619,2.596,3.193,3.129,3.231,977
"MIS.4923.79.1","4923-79_1","MIS",12229.2549762624,4.1,0.03,NA,NA,6.5917,NA,NA,168,3.875,3.96,3.909,4.275,4.251,4.29,978
"MMP.1.4924.32.1","4924-32_1","MMP-1",969.393269300255,3.02,0.02,NA,NA,4.0873,NA,NA,168,2.676,2.805,2.748,3.588,3.527,3.684,979
"MMP.13.4925.54.2","4925-54_2","MMP-13",672.666810431099,2.68,0.02,NA,NA,6.0433,NA,NA,168,2.683,2.699,2.689,3.106,3.071,3.152,980
"SHBG.4929.55.1","4929-55_1","SHBG",5641.57024432984,3.38,0.02,NA,NA,5.1397,NA,NA,168,2.965,3.297,3.241,4.205,4.139,4.262,981
"Stanniocalcin.1.4930.21.1","4930-21_1","Stanniocalcin-1",2198.8722577531,3.32,0.02,NA,NA,4.8924,NA,NA,168,3.039,3.119,3.086,3.571,3.538,3.629,982
"TF.4931.59.1","4931-59_1","TF",1061.94004978222,2.95,0.03,NA,NA,4.2948,NA,NA,168,2.83,2.909,2.872,3.331,3.264,3.371,983
"EPI.4956.2.1","4956-2_1","EPI",839.073489910136,2.81,0.03,NA,NA,7.812,NA,NA,168,2.924,2.943,2.932,3.32,3.292,3.349,984
"40S.ribosomal.protein.SA.4957.1.2","4957-1_2","40S ribosomal protein SA",2176.20598318573,3.27,0.03,3.475,NA,4.5401,NA,NA,46,3.475,3.475,3.475,3.632,3.606,3.663,985
"AGR2.4959.2.1","4959-2_1","AGR2",585.463736320577,2.72,0.02,2.934,NA,2.5819,NA,NA,34,2.934,2.934,2.934,3.006,2.983,3.034,986
"annexin.I.4960.72.1","4960-72_1","annexin I",6781.09767493435,3.86,0.04,NA,NA,6.1979,NA,NA,168,3.861,3.947,3.912,4.457,4.411,4.488,987
"annexin.II.4961.17.1","4961-17_1","annexin II",5013.02649539805,3.73,0.03,NA,NA,6.2646,NA,NA,168,3.663,3.764,3.729,4.234,4.211,4.275,988
"ARMEL.4962.52.1","4962-52_1","ARMEL",3466.57020533339,3.52,0.02,NA,NA,4.297,NA,NA,168,3.347,3.386,3.362,3.777,3.725,3.834,989
"ARP19.4963.19.1","4963-19_1","ARP19",359.087262369451,2.56,0.02,NA,NA,5.3408,NA,NA,168,2.668,2.788,2.766,3.593,3.564,3.678,990
"ARTS1.4964.67.1","4964-67_1","ARTS1",61319.6969715683,4.75,0.04,NA,NA,5.593,NA,NA,168,4.261,4.618,4.517,5.164,5.132,5.184,991
"ATP.synthase.beta.chain.4965.27.1","4965-27_1","ATP synthase beta chain",1420.69221286018,3,0.05,3.352,NA,1.8405,NA,NA,20,3.352,3.352,3.352,3.418,3.391,3.456,992
"C1QBP.4967.1.1","4967-1_1","C1QBP",7389.24387034474,3.86,0.05,4.075,3.856,4.609,NA,NA,168,3.864,3.889,3.879,4.066,4.048,4.097,993
"CAPG.4968.50.1","4968-50_1","CAPG",1088.17814681639,2.97,0.04,NA,NA,3.403,NA,NA,168,2.846,2.894,2.879,3.383,3.335,3.486,994
"Carbonic.anhydrase.I.4969.2.1","4969-2_1","Carbonic anhydrase I",24484.9938911193,4.37,0.02,NA,NA,6.5363,NA,NA,168,4.046,4.112,4.095,4.705,4.673,4.756,995
"carbonic.anhydrase.II.4970.55.1","4970-55_1","carbonic anhydrase II",336.589062949252,2.24,0.03,NA,NA,7.9446,NA,NA,168,2.201,2.223,2.212,2.679,2.644,2.708,996
"CATZ.4971.1.1","4971-1_1","CATZ",4846.18512240183,3.54,0.02,NA,NA,4.7946,NA,NA,168,3.356,3.493,3.441,3.952,3.917,4,997
"cIAP.2.4973.18.1","4973-18_1","cIAP-2",317.248808735088,2.27,0.03,NA,NA,3.9114,NA,NA,168,2.371,2.398,2.387,2.624,2.605,2.679,998
"CRK.4976.57.1","4976-57_1","CRK",3076.09681474071,3.49,0.03,NA,NA,12.8262,NA,NA,168,3.62,3.731,3.705,4.349,4.339,4.367,999
"DBNL.4978.54.2","4978-54_2","DBNL",1719.88734123824,3.18,0.02,NA,NA,4.75,NA,NA,168,3.256,3.293,3.276,3.971,3.889,4.031,1000
"DERM.4979.34.2","4979-34_2","DERM",1604.3532559702,3.12,0.04,NA,NA,3.04,NA,NA,168,3.031,3.142,3.122,3.522,3.451,3.584,1001
"DSC3.4981.6.1","4981-6_1","DSC3",294.171096975272,2.38,0.01,NA,NA,6.9533,NA,NA,168,2.337,2.374,2.359,2.695,2.672,2.722,1002
"Elafin.4982.54.1","4982-54_1","Elafin",11601.1221614805,3.89,0.02,NA,NA,4.6925,NA,NA,168,3.683,3.797,3.747,4.463,4.421,4.543,1003
"ERP29.4983.6.1","4983-6_1","ERP29",9236.3418841963,3.96,0.04,NA,NA,6.8226,NA,NA,168,3.896,3.963,3.938,4.283,4.27,4.31,1004
"Esterase.D.4984.83.1","4984-83_1","Esterase D",4729.33414918652,3.41,0.04,NA,NA,4.3974,NA,NA,168,3.369,3.463,3.443,3.881,3.842,3.933,1005
"FABPE.4985.11.1","4985-11_1","FABPE",2049.27385838024,2.99,0.05,NA,NA,3.2868,NA,NA,168,2.924,3.007,2.998,3.448,3.394,3.532,1006
"FAK1.4986.59.1","4986-59_1","FAK1",305.9849034655,2.27,0.02,NA,NA,5.8158,NA,NA,168,2.269,2.307,2.291,2.662,2.624,2.694,1007
"FCAR.4987.17.1","4987-17_1","FCAR",164.399313622132,2.39,0.03,NA,NA,6.4992,NA,NA,168,2.131,2.163,2.157,2.583,2.549,2.62,1008
"FGFR4.4988.49.2","4988-49_2","FGFR4",1519.84745292848,2.9,0.03,NA,NA,6.8704,NA,NA,168,2.936,2.991,2.977,3.547,3.513,3.59,1009
"Fibrinogen.g.chain.dimer.4989.7.1","4989-7_1","Fibrinogen g-chain dimer",52095.4747328555,4.74,0.03,NA,NA,5.5584,NA,NA,168,4.68,4.745,4.715,4.962,4.942,4.974,1010
"GP1BA.4990.87.1","4990-87_1","GP1BA",1104.07861990207,3.1,0.01,NA,NA,4.554,NA,NA,168,2.938,2.995,2.97,3.28,3.257,3.325,1011
"GPC5.4991.12.1","4991-12_1","GPC5",905.315591648484,2.94,0.04,NA,NA,4.048,NA,NA,168,2.642,2.758,2.724,3.192,3.14,3.244,1012
"GRN.4992.49.1","4992-49_1","GRN",28913.4556264238,4.46,0.02,NA,NA,5.8388,NA,NA,168,4.314,4.371,4.344,4.652,4.635,4.682,1013
"GSTA3.4993.16.1","4993-16_1","GSTA3",240.325580493324,2.16,0.04,NA,NA,6.0739,NA,NA,168,2.091,2.128,2.112,2.755,2.686,2.792,1014
"hnRNP.K.4994.178.1","4994-178_1","hnRNP K",308.673964568386,2.3,0.02,NA,NA,7.6583,NA,NA,168,2.237,2.279,2.255,2.83,2.792,2.864,1015
"HPG..4995.16.1","4995-16_1","HPG-",1637.19345575453,3.18,0.03,NA,NA,8.8393,NA,NA,168,3.279,3.3,3.29,3.591,3.568,3.607,1016
"HRG.4996.66.1","4996-66_1","HRG",2501.4970784601,3.36,0.03,NA,NA,4.1676,NA,NA,168,3.194,3.287,3.244,3.706,3.664,3.766,1017
"IF4A3.4997.19.1","4997-19_1","IF4A3",392.19314633265,2.48,0.02,NA,NA,5.4679,NA,NA,168,2.606,2.621,2.611,2.947,2.913,2.991,1018
"JAK2.4998.50.1","4998-50_1","JAK2",15031.4196609002,4.17,0.04,NA,NA,5.1324,NA,NA,168,4.039,4.086,4.06,4.388,4.362,4.428,1019
"LG3BP.5000.52.1","5000-52_1","LG3BP",770.371131697609,2.93,0.03,NA,NA,5.8601,NA,NA,168,2.481,2.669,2.609,3.187,3.151,3.215,1020
"Mammaglobin.2.5001.6.2","5001-6_2","Mammaglobin 2",14105.8739930947,4.12,0.06,4.403,4.18,3.8037,NA,NA,168,4.107,4.163,4.155,4.491,4.439,4.538,1021
"MMP.14.5002.76.1","5002-76_1","MMP-14",841.588902342911,2.72,0.04,NA,NA,4.4613,NA,NA,168,2.794,2.855,2.843,3.341,3.292,3.404,1022
"MK11.5004.69.1","5004-69_1","MK11",530.395706694536,2.65,0.02,NA,NA,4.1325,NA,NA,168,2.564,2.623,2.605,3.097,3.055,3.174,1023
"MK12.5005.4.1","5005-4_1","MK12",393.550075455778,2.55,0.01,NA,NA,6.9372,NA,NA,168,2.644,2.7,2.671,3.227,3.189,3.264,1024
"MK13.5006.71.1","5006-71_1","MK13",466.122428001887,2.59,0.02,NA,NA,4.3785,NA,NA,168,2.591,2.632,2.623,2.961,2.921,3.009,1025
"MAPK14.5007.1.1","5007-1_1","MAPK14",613.196969715682,2.88,0.03,NA,NA,4.3373,NA,NA,168,2.884,2.986,2.944,3.831,3.773,3.927,1026
"Mn.SOD.5008.51.1","5008-51_1","Mn SOD",40982.6464980982,4.68,0.03,NA,NA,7.2333,NA,NA,168,4.305,4.404,4.383,4.756,4.744,4.774,1027
"Moesin.5009.11.1","5009-11_1","Moesin",689.445593170922,2.79,0.02,NA,NA,4.9572,NA,NA,168,2.879,2.966,2.946,3.676,3.598,3.729,1028
"PBEF.5011.11.1","5011-11_1","PBEF",603.94862937638,2.87,0.02,NA,NA,4.1653,NA,NA,168,2.751,2.792,2.776,3.125,3.082,3.178,1029
"Myokinase..human.5012.67.1","5012-67_1","Myokinase, human",14491.0548400123,4.12,0.02,NA,NA,5.2709,NA,NA,168,4.004,4.133,4.071,4.766,4.707,4.814,1030
"NCC27.5013.2.1","5013-2_1","NCC27",1090.18449238513,3.16,0.06,NA,NA,5.3889,NA,NA,168,3.22,3.351,3.287,4.448,4.383,4.522,1031
"NCK1.5014.49.1","5014-49_1","NCK1",867.16152409183,2.92,0.02,NA,NA,5.1542,NA,NA,168,3.007,3.035,3.023,3.391,3.346,3.431,1032
"PAFAH.5015.15.1","5015-15_1","PAFAH",1045.44213569415,3.06,0.03,NA,NA,5.0744,NA,NA,168,2.831,2.859,2.845,3.257,3.213,3.307,1033
"PARK7.5016.61.2","5016-61_2","PARK7",491.812995268308,2.56,0.03,NA,NA,3.9288,NA,NA,168,2.627,2.677,2.658,3.035,3.004,3.106,1034
"Peroxiredoxin.5.5017.19.1","5017-19_1","Peroxiredoxin-5",137277.701820855,2.49,0.06,2.845,NA,1.3368,NA,NA,14,2.845,2.845,2.845,2.881,2.861,2.913,1035
"Peroxiredoxin.6.5018.68.1","5018-68_1","Peroxiredoxin-6",383.795607523297,2.59,0.03,NA,NA,8.8334,NA,NA,168,2.495,2.548,2.52,3.425,3.388,3.467,1036
"PGP9.5.5019.16.2","5019-16_2","PGP9.5",1248.24547392454,2.96,0.03,NA,NA,4.0991,NA,NA,168,3.043,3.079,3.06,3.77,3.712,3.868,1037
"phosphoglycerate.kinase.1.5020.50.1","5020-50_1","phosphoglycerate kinase 1",3556.31318568985,3.52,0.03,NA,NA,6.9547,NA,NA,168,3.626,3.721,3.697,4.473,4.434,4.522,1038
"PPase.5021.13.1","5021-13_1","PPase",110713.352042552,4.18,0.04,NA,NA,5.7856,NA,NA,168,4.116,4.281,4.243,4.769,4.755,4.814,1039
"PSME1.5022.61.1","5022-61_1","PSME1",804.266538015677,2.88,0.04,NA,NA,5.7443,NA,NA,168,2.848,2.937,2.913,3.593,3.544,3.645,1040
"PUR8.5023.23.1","5023-23_1","PUR8",3650.90052484498,3.55,0.13,3.519,NA,5.4485,NA,NA,28,3.519,3.519,3.519,3.752,3.723,3.789,1041
"Rb.5024.67.1","5024-67_1","Rb",1011.11371195491,2.93,0.03,NA,NA,7.3456,NA,NA,168,3.001,3.041,3.028,3.347,3.338,3.38,1042
"RS3.5026.66.1","5026-66_1","RS3",245.923482384623,2.42,0.02,NA,NA,4.4486,NA,NA,168,2.581,2.605,2.598,3.132,3.082,3.208,1043
"sCD163.5028.59.1","5028-59_1","sCD163",2531.04577719744,3.53,0.03,NA,NA,6.4159,NA,NA,168,3.207,3.249,3.235,3.722,3.705,3.779,1044
"SEPR.5029.3.1","5029-3_1","SEPR",719.7803728027,2.9,0.02,NA,NA,4.5246,NA,NA,168,2.663,2.71,2.682,3.114,3.06,3.164,1045
"SIRT2.5030.52.1","5030-52_1","SIRT2",4408.59293159132,3.55,0.07,4.081,NA,1.4853,NA,NA,25,4.081,4.081,4.081,4.188,4.151,4.272,1046
"SPTA2.5031.10.1","5031-10_1","SPTA2",144.743809966616,2.07,0.02,NA,NA,2.7985,NA,NA,168,2.108,2.141,2.132,2.477,2.397,2.552,1047
"SSRP1.5032.64.1","5032-64_1","SSRP1",304.92989203838,2.41,0.02,NA,NA,6.9251,NA,NA,168,2.508,2.533,2.525,2.876,2.849,2.907,1048
"Tropomyosin.1.alpha.chain.5033.27.1","5033-27_1","Tropomyosin 1 alpha chain",764.363604926366,2.76,0.02,NA,NA,4.2314,NA,NA,168,2.838,2.858,2.851,3.235,3.169,3.283,1049
"Trypsin.2.5034.79.1","5034-79_1","Trypsin 2",2207.49637966914,3.41,0.02,NA,NA,6.4778,NA,NA,168,2.915,3.024,2.98,3.729,3.691,3.781,1050
"TS.5035.7.1","5035-7_1","TS",582.237267422498,2.55,0.02,NA,NA,5.6035,NA,NA,168,2.498,2.534,2.513,2.969,2.922,3.01,1051
"TSG.6.5036.50.1","5036-50_1","TSG-6",2157.24762733788,3.04,0.03,NA,NA,5.7246,NA,NA,168,2.675,2.755,2.73,3.418,3.389,3.488,1052
"AMHR2.5059.8.3","5059-8_3","AMHR2",150348.811716899,5.18,0.02,NA,NA,5.8552,NA,NA,168,5.052,5.083,5.066,5.331,5.322,5.371,1053
"B7.H1.5060.62.3","5060-62_3","B7-H1",1838.65395386403,3.12,0.03,NA,NA,6.3708,NA,NA,168,2.878,2.934,2.901,3.474,3.43,3.515,1054
"B7.H2.5061.27.3","5061-27_3","B7-H2",611.364194500767,2.79,0.03,NA,NA,6.2112,NA,NA,168,2.842,2.882,2.865,3.745,3.665,3.786,1055
"CD226.5062.60.3","5062-60_3","CD226",743.532574648276,2.84,0.02,NA,NA,5.5802,NA,NA,168,2.983,3.003,2.996,3.348,3.314,3.391,1056
"CLM6.5066.134.3","5066-134_3","CLM6",3003.30887867656,3.51,0.04,NA,NA,8.9364,NA,NA,168,3.265,3.32,3.303,3.703,3.687,3.724,1057
"CRTAM.5068.54.3","5068-54_3","CRTAM",440.250644073913,2.64,0.02,NA,NA,4.3874,NA,NA,168,2.709,2.746,2.737,3.194,3.151,3.263,1058
"DAF.5069.9.3","5069-9_3","DAF",21281.3904598271,4.35,0.02,NA,NA,8.3596,NA,NA,168,4.146,4.182,4.166,4.524,4.502,4.544,1059
"DcR3.5070.76.3","5070-76_3","DcR3",451.647904929112,2.63,0.02,NA,NA,6.0096,NA,NA,168,2.626,2.656,2.646,2.953,2.926,2.985,1060
"Desmoglein.2.5071.3.3","5071-3_3","Desmoglein-2",68881.088265268,4.79,0.02,NA,NA,7.2107,NA,NA,168,4.612,4.673,4.659,5.017,4.995,5.037,1061
"DR3.5073.30.2","5073-30_2","DR3",12108.7691616688,3.87,0.03,NA,NA,3.4278,NA,NA,168,3.749,3.823,3.778,4.183,4.132,4.253,1062
"EPHAA.5076.53.2","5076-53_2","EPHAA",368.383355979065,2.56,0.03,NA,NA,4.4126,NA,NA,168,2.474,2.509,2.496,2.833,2.788,2.878,1063
"EPHB2.5077.28.3","5077-28_3","EPHB2",14144.9038602332,4.12,0.03,NA,NA,5.5595,NA,NA,168,3.821,3.912,3.855,4.426,4.384,4.473,1064
"EphB6.5078.82.3","5078-82_3","EphB6",1599.9263828686,3.13,0.02,NA,NA,6.0695,NA,NA,168,3.07,3.098,3.084,3.415,3.388,3.451,1065
"GITR.5079.11.3","5079-11_3","GITR",1073.74214560888,2.75,0.02,NA,NA,3.0752,NA,NA,168,2.816,2.838,2.829,3.05,3.022,3.117,1066
"GPNMB.5080.131.3","5080-131_3","GPNMB",9115.90939536167,4.04,0.02,NA,NA,5.5886,NA,NA,168,3.677,3.758,3.727,4.196,4.175,4.248,1067
"IL.1.sR9.5082.51.3","5082-51_3","IL-1 sR9",714.002939927844,2.85,0.03,2.989,NA,2.6643,NA,NA,40,2.989,2.989,2.989,3.061,3.045,3.094,1068
"IL.17B.R.5084.154.3","5084-154_3","IL-17B R",1269.98911891811,3,0.04,NA,NA,10.8194,NA,NA,168,2.833,2.908,2.881,3.463,3.44,3.481,1069
"IL.20.Ra.5085.18.3","5085-18_3","IL-20 Ra",264.301726447765,2.33,0.03,NA,NA,2.9608,NA,NA,168,2.362,2.392,2.379,2.614,2.578,2.68,1070
"IL.22BP.5087.5.3","5087-5_3","IL-22BP",3258.36701002009,3.36,0.02,NA,NA,7.1756,NA,NA,168,3.132,3.238,3.188,3.758,3.726,3.786,1071
"IL.23.R.5088.175.3","5088-175_3","IL-23 R",2442.30557039732,3.39,0.03,NA,NA,7.2315,NA,NA,168,3.211,3.306,3.273,3.709,3.692,3.734,1072
"IL.7.Ra.5089.11.3","5089-11_3","IL-7 Ra",366.100228546543,2.55,0.02,NA,NA,4.2699,NA,NA,168,2.467,2.508,2.496,2.899,2.854,2.959,1073
"ILT.2.5090.49.2","5090-49_2","ILT-2",4041.1037451349,3.68,0.02,NA,NA,5.9532,NA,NA,168,3.198,3.295,3.256,3.869,3.843,3.927,1074
"ILT.4.5091.28.3","5091-28_3","ILT-4",10087.8821494927,3.83,0.02,NA,NA,16.1879,NA,NA,168,3.687,3.717,3.706,4.205,4.195,4.222,1075
"JAG1.5092.51.3","5092-51_3","JAG1",1766.44451274248,3.28,0.02,NA,NA,5.2475,NA,NA,168,3.101,3.14,3.127,3.433,3.413,3.476,1076
"JAG2.5093.47.3","5093-47_3","JAG2",466.44452520378,2.59,0.03,NA,NA,3.9105,NA,NA,168,2.695,2.732,2.721,3.13,3.088,3.204,1077
"JAML1.5094.62.3","5094-62_3","JAML1",1023.76434464327,2.91,0.02,NA,NA,3.9711,NA,NA,168,3.007,3.035,3.023,3.253,3.216,3.289,1078
"KI2L4.5095.21.3","5095-21_3","KI2L4",839.266715966234,3.16,0.02,NA,NA,5.5923,NA,NA,168,2.865,2.998,2.937,3.419,3.382,3.444,1079
"KI3L2.5096.51.3","5096-51_3","KI3L2",633.140361710816,2.39,0.02,NA,NA,6.7792,NA,NA,168,2.474,2.53,2.507,2.975,2.945,3.01,1080
"KI3S1.5097.14.3","5097-14_3","KI3S1",627.624661280024,2.59,0.01,NA,NA,11.1148,NA,NA,168,2.702,2.72,2.71,3.046,3.03,3.064,1081
"KLRF1.5098.79.3","5098-79_3","KLRF1",338.532212815354,2.47,0.02,NA,NA,3.4185,NA,NA,168,2.591,2.606,2.6,2.794,2.761,2.842,1082
"LAG.3.5099.14.3","5099-14_3","LAG-3",8319.55313840021,3.87,0.02,NA,NA,5.5114,NA,NA,168,3.539,3.633,3.605,4.248,4.204,4.304,1083
